name,x,y,z
A001,-33.8941259635723,-712.751648379266,-2.33008949622916
A002,-17.4539088663487,-709.608697236419,-2.32867141985557
A003,-22.5589292009902,-691.9838606867,-2.32374238442929
A004,-5.42101314454732,-723.791104543484,-2.33425051860951
A005,25.2459389865028,-744.431844526921,-2.33668425597284
A006,20.9463482400262,-721.464645994381,-2.3330178287423
A007,15.934535114871,-700.675748159302,-2.32967552012977
A008,9.4823358373427,-687.076474643391,-2.7291767265736
A009,-9.83510033265698,-663.826595683979,-2.72270426251944
A010,-20.8937151912055,-653.559981954602,-2.43766593979271
A011,37.8261781832673,-735.876081765372,-2.48474916182477
A012,36.7455862282406,-720.639490700345,-2.73299549772651
A013,0.965953711058617,-702.654983873605,-2.32587440791801
A014,16.4147401273497,-673.573615376784,-2.72574417330316
A015,10.7398794256429,-659.567363766163,-2.72626190730048
A016,-20.6204213364321,-633.907341816432,-2.52767283838315
A017,-6.71237268812183,-684.951937750849,-2.32694370028051
A018,-41.239298716146,-725.977727775368,-2.3366309699411
A019,-50.3041106919097,-711.209497979111,-2.33202476559475
A020,-61.0567538821493,-722.792878828256,-1.93442637913233
A021,-43.7591266792473,-692.174206978052,-2.32987320308513
A022,-43.644072283028,-652.742461282587,-2.32269680501966
A023,-59.4042933960733,-667.571739530866,-2.13036556790053
A024,-74.4746158754488,-684.657459497715,-2.129342648593
A025,-84.5230041941645,-704.893779920703,-1.93768176680862
A026,-86.872867544842,-732.262042576838,-1.92881021775742
A027,-93.1429245422512,-745.959480901687,-1.9414928385458
A028,-57.049928929676,-645.438845598774,-2.12905594894707
A029,-71.0060175834169,-655.828175292712,-2.12426033523596
A030,-68.4810736584245,-698.47078504325,-2.3347798885089
A031,-95.8997253985407,-694.890111113543,-1.92773991471489
A032,-103.295848204784,-719.778697662129,-1.93062751637723
A033,-105.438737687113,-755.003357013313,-1.6407528154964
A034,-76.9023209327324,-718.172758416694,-1.9290733376032
A035,-26.0418615714867,-726.18880881691,-2.33257505102307
A036,-15.3995125239272,-746.359227929024,-2.33187916072802
A037,-51.3338102635892,-746.674904546033,-2.33210401209669
A038,-80.4971567306579,-765.11183125861,-1.94259961922626
A039,-64.1890711315269,-771.149489577367,-1.940145206784
A040,-42.3395485755743,-777.860709267414,-2.33978151109369
A041,-23.0933925545669,-778.607936289819,-2.34077449067001
A042,2.38262267556682,-763.285557163069,-2.83887298850243
A043,17.10537160233,-766.533802920813,-2.84228671482379
A044,-80.0670300082364,-780.374023841007,-1.3364514147305
A045,-63.5052121921339,-786.819956804637,-1.34106065911567
A046,-36.6670735363707,-762.166282090718,-2.33984336361584
A047,-19.6539972130021,-794.59523138838,-2.33874331578744
A048,-1.52335524031822,-788.945258144936,-2.83700879990852
A049,30.3517491689648,-773.918806839616,-3.33623166364868
A050,-15.0463978370455,-764.334803087659,-2.33501646789904
A051,-76.9900701604631,-805.533890948188,-1.34255528322666
A052,-63.6797807436295,-813.368825169777,-1.84140739900914
A053,-45.4746070028702,-822.363419852249,-1.84241025784019
A054,-20.263784353376,-817.05368971626,-1.84059511175383
A055,-1.88432576127275,-817.117505627411,-2.35157145793113
A056,12.2085528319554,-808.688991212629,-2.73850390901003
A057,-60.7045540327193,-834.805776756567,-1.2981603417519
A058,-45.3502469918915,-846.397205574368,-1.84856724833821
A059,2.29572500349427,-836.622146682143,-2.34411130090666
A060,-5.28916760827667,-862.853825750716,-1.54662317239388
A061,-57.360488756637,-861.945414043916,-1.30275520601128
A062,-79.5438024821919,-828.93979661935,-1.29559876493209
A063,-11.4942236091937,-843.005995864714,-1.84996548217634
A064,27.573346680892,-827.39780999381,-2.34496184079819
A065,-1.51589429625349,-616.827274122582,-3.32695770420878
A066,-54.7118170740773,-616.689221093276,-2.52117846576948
A067,84.3230110628112,-698.101776838813,-3.98392883920172
A068,-140.507228002619,-651.164080188819,-0.634931252160726
A069,-159.551608541733,-789.469024765464,-0.085066707958504
A070,108.097793550212,-762.866635861082,-4.0947370468773
A071,-118.867463717355,-582.60931617033,-0.492832170545825
A072,89.0939534835727,-599.959699967879,-5.66196296622977
A073,-205.149047509469,-724.689511745894,0.219354398189125
A074,103.7166566493,-847.991740439581,-4.49246116629365
A075,-62.6494942487826,-519.065841227369,-1.50652133509803
A076,-136.070453080575,-902.086111614707,0.92647753133889
A077,159.550451698809,-656.920077611213,-3.35097146124178
A078,-225.200155540689,-626.958779364089,0.255079790371241
A079,58.7495145226417,-939.669106198335,-0.925793214702253
A080,29.3883323495029,-480.59390242748,-3.49825354000501
A081,-232.638613225572,-862.215007460786,-2.63677135594327
A082,210.951961211734,-760.339582542277,-7.7220031445226
A083,-201.620262676373,-507.585138311197,2.95153145386834
A084,-34.1300888930251,-1015.68784014335,4.27568211984999
A085,149.605259046181,-491.58346628304,-7.81277942154065
A086,-320.565229008258,-763.861124418916,2.92101301324027
A087,210.998337420004,-883.466362099908,-6.96694077102308
A088,-71.1671863303995,-427.393507893544,-0.557779024976469
A089,-115.706362603117,-1075.44339648328,6.89188650758985
A090,278.417075704865,-571.571132142842,-11.9457916746623
A091,-370.974335782834,-604.123734313465,-0.592510745858363
A092,159.506055078102,-1067.09435331214,-1.91464889202018
A093,28.8994507733232,-305.417084557629,-2.93440994045658
A094,-322.525171931423,-1004.12552694626,-3.52353194354561
A095,427.013324312457,-741.483519053426,-12.8575650105808
A096,-405.235523308408,-342.143633133425,-1.63107365162421
A097,17.6124551476577,-1214.45336236618,2.28884689898899
A098,232.033973197717,-296.681955743965,-7.97014559036191
A099,-503.31442461339,-815.466363780491,-6.09519192281368
A100,420.972844904449,-972.773765584431,-9.20638248064523
A101,-235.416699819033,-182.535769317994,0.433037607203715
A102,-203.833862284896,-1306.43027573144,0.526362143930839
A103,461.17921447266,-403.845078357378,-16.0964926388857
A104,-588.98253749471,-511.880395375758,-3.7007897674967
A105,442.01782260044,-1210.84072704912,-7.45373549104539
A106,47.7538938609115,67.1280647700535,-0.743533339188502
A107,-450.264732828484,-1285.50037023995,-12.997986407183
A108,664.498758157384,-652.372771221813,-21.819079695234
A109,-562.632890919828,-314.452191888226,-2.91256880946999
A110,186.641221205578,-1550.36134284698,-8.70398115773389
A111,336.216480866719,47.5583011956155,-7.73202816197324
A112,-800.991542852168,-1007.19407251806,-8.70610417897603
A113,772.936806695652,-1043.85415321944,-19.6585677632178
A114,-467.368694807743,136.824263068896,-0.396575269872947
A115,-175.905729617853,-1647.5462909519,2.32885338042809
A116,738.729850334688,-82.1557402304956,-22.7062563643534
A117,-1046.66263630265,-604.864534286358,-14.9915743676181
A118,755.841320571978,-1622.60126424345,6.02097197480953
A119,-108.882291468147,476.220464198945,-0.838784600864216
A120,-768.842876166783,-1726.66452398489,-12.4050233826991
A121,1123.2886509535,-455.269886353048,-48.8441057680604
A122,-1137.97980692999,9.99596354778393,-19.6253940795205
A123,386.347696506674,-1962.09536500747,13.5631919277678
A124,448.246995254316,646.126962798344,-10.6696017292324
A125,-1275.85149499908,-1433.66586462236,-34.6332780627923
A126,1241.72054861984,-1079.90515141723,-31.5145372271313
A127,-883.220932280697,539.710050256824,8.23899233741963
A128,-124.35855084551,-2293.7724608815,-9.80747708321269
A129,1145.06189367018,515.908839361708,-40.8286093530529
A130,-1700.499583739,-820.642126413357,-29.4774191144704
A131,1365.74259378266,-1889.69828938022,26.4958041990561
A132,-452.480106362182,1329.18566499993,2.53986363270832
A133,-1175.12158804448,-1860.2495868191,-36.1655854436075
A134,-134.081884660919,-1268.79868132427,1.41783787904683
A135,384.791954776516,-367.456856814979,-11.9812235158412
A136,-586.6863143481,-428.774867395674,-3.48042325762569
A137,13.0446413340528,-559.814637937119,-3.33968889765501
A138,-38.9428588257111,-920.630186359823,2.92814702581143
W201,2280.67020345146,1505.47028277259,-441.519717609495
W202,3681.57887309993,1562.44513115705,-337.215432041897
W203,3515.38017586983,1921.38699199462,-320.517244133281
W204,2972.50389774507,1946.24159620116,-190.508031180597
W205,3788.36738043242,1989.62381298091,-148.662325109899
W206,3930.7346162968,2533.60281195183,-78.876085856086
W207,4329.94692168974,2839.50435218603,-67.7746862245515
W208,4127.86706061638,3145.91661513098,-31.6442683912337
W209,3843.34782327562,3987.66853918574,-15.1584974356117
W210,3691.44229630874,4644.27162301709,15.0228609541416
S301,4868.17532337257,5781.18156695978,-19.0969875881306
S302,5196.73307431357,7567.58324876129,-185.706655415243
S303,5408.02887217023,9132.72430171133,-253.393305818145
S304,1691.0202928436,-3392.21538816569,-103.679928261722
S305,2393.11758090319,-4995.84622961199,-252.929615947408
S306,3339.65583139889,-6007.16917648393,-59.5655301228662
S307,3467.36203955962,-2819.84920103294,-58.9093475222375
S308,3507.38726478664,-6790.5189997285,-261.798937614811
S309,3930.89472418548,-2631.92306550698,-282.636226185967
P401,4865.80980326637,-2641.45166430502,-116.904021532124
P402,5382.45097017394,-6092.65736866974,-168.100010015319
P403,6293.27982067354,-6434.26218679268,-145.911536138382
P404,-7710.90180291215,-200.060112954238,-129.375234273283
P405,-6540.27060674536,1095.12024392959,-152.646393551846
P406,-6256.10312582522,474.994066231482,-162.223036702954
P407,-4804.2150161941,1136.99674710054,-198.093827844757
P408,-4393.45196274698,1212.56486731806,-181.519008853405
P409,-3073.17945094872,1336.90604230601,-163.071159126638
P410,-2775.51087611007,1375.77459534313,-156.23715555701
P411,-1958.69782806539,3405.64388533465,-207.313625519848
P412,-1699.36973820528,3279.32443031642,-193.021860182041
P413,-1195.80262068613,2825.21976069048,-237.958447308506
N601,-37.0138455240897,-551.931930344232,-2.32509281528334
N602,-49.2864196474942,-547.231342462672,-2.31476892355164
N603,-58.1457442598797,-547.206602624051,-2.31884130537776
N604,-58.3714507962721,-591.284073116768,-2.32279452705154
N605,-48.3881294786468,-595.173265048495,-2.32307440423037
N606,-38.886699063088,-585.953001864338,-2.31715201461154
J501,-47.9953137114168,-564.8585950658,-2.3183025774199
J502,-55.9698552179093,-568.820456310596,-2.32172113089032
J503,-48.8448031375612,-574.435715140461,-2.32516812894789
J504,-35.8923957604335,-569.620675476709,-2.31864846438441
J505,-65.3184615704392,-560.701494329159,-2.32008784239008
J506,-63.0370280212652,-574.716596902372,-2.320317857075
J507,-36.945136100784,-560.00969009697,-2.31279963127216
J508,-49.2177137951092,-555.309112153407,-2.31446963076462
J509,-58.0769515396979,-555.294369399664,-2.31854275924715
J510,-58.4403256250101,-583.186297889586,-2.32204632150334
J511,-50.5465387252296,-587.383557037894,-2.31936581458618
J512,-40.6862906655615,-577.980051041702,-2.31843254792844
T701,-87.2086388442014,-542.148317783475,-2.31273817553401
T702,-81.6972711409949,-601.663010675978,-2.31702520212178
T703,-15.1846635865065,-595.091029544333,-2.6109014400983
T704,-15.1567049588832,-539.533390302809,-2.31593802492898
