Line;freq(GHz);c;err_c;d;err_d;a;b;disp;ext_AGN2;ext_AGN3
ArII;42950.208882521496;-3.96;0.32;0.0;0.0;0.84;-4.21;0.64;0.51;0.41
ArIII 8.99;33347.32569521691;-4.22;0.69;0.0;0.0;0.98;-4.15;0.37;0.74;0.6
ArIII 21.82;13739.34271310724;-5.4;0.7;0.0;0.0;0.98;-5.34;0.36;0.86;0.7
ArV 13.09;22902.40320855615;0.0;0.0;0.0;0.0;0.87;-3.85;0.32;0.59;0.48
ArV 7.90;37948.41240506329;0.0;0.0;0.0;0.0;0.87;-3.85;0.32;0.57;0.46
CaV;26114.3256097561;0.0;0.0;0.0;0.0;0.9;-5.12;0.34;0.006;0.005
CI 370.42;809.3311862210464;-4.88;0.24;0.0;0.0;0.0;0.0;0.0;1.0;1.0
CI 609.14;492.1569064582855;-5.14;0.33;0.0;0.0;0.0;0.0;0.0;1.0;1.0
CII;1901.0301712111607;-2.78;0.4;8.87;0.27;0.9;-4.42;0.57;1.0;1.0
ClII;20847.87607788595;-5.44;0.33;0.0;0.0;0.85;-4.83;0.57;0.0002;0.0001
CO(10-9);1152.1616372021524;-5.16;0.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(11-10);1264.9470801687764;-5.23;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(12-11);1381.5320645161291;-5.33;0.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(13-12);1498.9622900000002;-5.26;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(4-3);461.00639397201303;-5.09;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(5-4);576.3023029603999;-5.02;0.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(6-5);691.4032702952029;-5.02;0.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(7-6);806.5441431261771;-5.12;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(8-7);921.8710270602706;-5.12;0.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(9-8);1036.9853268765132;-5.18;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FeII 25.98;11539.355581216321;-4.29;0.44;0.0;0.0;0.87;-3.71;0.55;1.0;1.0
FeII 17.93;16720.15939765756;-5.18;0.34;0.0;0.0;0.84;-3.8;0.54;0.21;0.17
FeIII;13091.373711790395;-6.56;0.33;0.0;0.0;0.79;-4.85;0.6;0.29;0.24
HI;24235.445270816497;-4.85;0.3;0.0;0.0;0.86;-3.84;0.34;0.24;0.19
H_2 12.28;24413.066612377854;-4.12;0.54;0.0;0.0;0.94;-3.88;0.24;0.78;0.63
H_2 17.03;17603.78496770405;-4.04;0.46;8.07;0.34;1.05;-5.1;0.42;0.87;0.7
H_2 6.91;43385.30506512301;-3.97;0.39;0.0;0.0;0.8;-2.4;0.34;0.5;0.41
H_2 9.66;31034.415942028987;-3.96;0.52;0.0;0.0;1.07;-5.32;0.34;0.68;0.55
MgV;22206.848740740745;0.0;0.0;0.0;0.0;0.91;-4.01;0.34;0.14;0.11
NeII;23403.00218579235;-3.11;0.45;0.0;0.0;0.98;-4.06;0.37;0.79;0.64
NeIII;19279.257749196142;-3.69;0.47;0.0;0.0;0.78;-1.44;0.31;0.36;0.29
NeV 24.31;12332.06326614562;0.0;0.0;0.0;0.0;0.69;-0.5;0.39;0.84;0.68
NeV 14.32;20935.22751396648;0.0;0.0;0.0;0.0;0.78;-1.61;0.39;0.69;0.56
NeVI;39188.556601307195;0.0;0.0;0.0;0.0;0.79;-1.48;0.42;0.56;0.46
NII 205.18;1461.1193001267181;-4.09;0.37;0.0;0.0;0.0;0.0;0.0;1.0;1.0
NII 121.90;2459.3310746513534;-3.49;0.36;0.0;0.0;0.0;0.0;0.0;1.0;1.0
NIII;5230.154535938591;-3.26;0.16;0.0;0.0;0.0;0.0;0.0;1.0;1.0
OIII 88.36;3392.8526256224536;-2.92;0.48;0.0;0.0;0.91;-3.34;0.32;1.0;1.0
OIII 51.81;5786.382127002509;-2.84;0.44;0.0;0.0;0.92;-2.47;0.32;1.0;1.0
OI 145.52;2060.1460830126443;-3.8;0.43;0.0;0.0;0.88;-4.32;0.63;1.0;1.0
OI 63.18;4745.053149730928;-2.93;0.3;9.01;0.3;0.86;-2.99;0.62;1.0;1.0
OIV;11579.469215913481;0.0;0.0;0.0;0.0;0.7;-0.04;0.42;0.93;0.76
PAH 11.25;26648.218488888888;-2.29;0.36;9.01;0.28;0.0;0.0;0.0;0.0;0.0
PAH 12.7;23605.705354330712;-2.2;0.33;9.75;0.28;0.0;0.0;0.0;0.0;0.0
PAH 3.3;90846.19939393942;-3.11;0.3;8.54;0.23;0.0;0.0;0.0;0.0;0.0
PAH 6.2;48353.62225806452;-2.2;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PAH 7.7;38934.08545454546;-1.64;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PAH 8.6;34859.58813953489;-2.16;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SiII;8609.777656519242;-2.91;0.28;0.0;0.0;0.89;-3.14;0.52;1.0;1.0
SiVII;46121.91661538462;0.0;0.0;0.0;0.0;0.83;-3.55;0.37;0.08;0.06
SIII 18.71;16023.11373597007;-3.49;0.48;0.0;0.0;0.96;-3.75;0.31;0.89;0.72
SIII 33.48;8954.37449223417;-3.05;0.31;0.0;0.0;0.62;0.35;0.3;1.0;1.0
SIV;28578.88064823642;-3.95;0.69;0.0;0.0;0.9;-2.96;0.24;0.18;0.15
CO(2-1);230.538;-5.53;0.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO(3-2);345.796;-5.43;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HCN(4-3);354.505;-5.26;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HCN(5-4);443.016;-5.22;0.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CH3OH(5-4);241.767;-5.49;0.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CH3OH(6-5);290.146;-5.34;0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SO(6-5);219.949;-5.56;0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SO(7-6);255.286;-5.63;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0 