science_keyword,band_list
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",4
"Post-AGB stars, Evolved stars - Shaping/physical structure",3
Starburst galaxies,10
"High-mass star formation, Intermediate-mass star formation",4
"Evolved stars - Chemistry, Transients",7
"Starbursts, star formation, Spiral galaxies",4
"High-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",9
Galaxy chemistry,7
"Disks around high-mass stars, Exo-planets",3
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",10
"Galaxy chemistry, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
"Disks around low-mass stars, Exo-planets",8
Disks around low-mass stars,1
"Surveys of galaxies, Early-type galaxies",3
Low-mass star formation,10
"Galaxy structure & evolution, Gamma Ray Bursts (GRB)",7
"Disks around low-mass stars, Brown dwarfs",7
"Debris disks, White dwarfs",6
"Debris disks, White dwarfs",7
"Outflows, jets and ionized winds, Low-mass star formation",4
"The Sun, Main sequence stars",8
"Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE), Galaxy structure & evolution",7
"Galaxy structure & evolution, Galaxy chemistry",6
"Giant Molecular Clouds (GMC) properties, Inter-Stellar Medium (ISM)/Molecular clouds",3
"Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR), Inter-Stellar Medium (ISM)/Molecular clouds",3
"Outflows, jets, feedback, Galaxy Clusters",3
"High-mass star formation, Disks around high-mass stars",7
"Gravitational lenses, Sub-mm Galaxies (SMG)",4 6 7
,3 6
"Outflows, jets and ionized winds, Astrochemistry",5
"Lyman Break Galaxies (LBG), Sub-mm Galaxies (SMG)",6
The Sun,3
Active Galactic Nuclei (AGN)/Quasars (QSO),6
"Disks around low-mass stars, Exo-planets",6
"Starbursts, star formation, Merging and interacting galaxies",8
"Starburst galaxies, Sub-mm Galaxies (SMG)",8
"Pulsars and neutron stars, Transients",7
"Starbursts, star formation, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
"Early-type galaxies, Giant Molecular Clouds (GMC) properties",6
"Outflows, jets, feedback, Galaxy chemistry",3
Damped Lyman Alpha (DLA) systems,8
"Lyman Alpha Emitters/Blobs (LAE/LAB), Starburst galaxies",6
"Main sequence stars, Brown dwarfs",3
"Inter-Stellar Medium (ISM)/Molecular clouds, Magellanic Clouds",6
High-z Active Galactic Nuclei (AGN),7
"Starburst galaxies, Sub-mm Galaxies (SMG)",6
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",7
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",6
Post-AGB stars,6
"Spiral galaxies, Galaxy chemistry",7
"Spiral galaxies, Galaxy chemistry",6
Galaxy structure & evolution,3
High-z Active Galactic Nuclei (AGN),6
Asymptotic Giant Branch (AGB) stars,9
Asymptotic Giant Branch (AGB) stars,6
Evolved stars - Chemistry,6
"Starbursts, star formation, Spiral galaxies",7
"Low-mass star formation, Astrochemistry",4
Galactic centres/nuclei,6
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Shaping/physical structure",6
"Merging and interacting galaxies, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
Galaxy Clusters,3
Lyman Break Galaxies (LBG),5
"High-z Active Galactic Nuclei (AGN), Gravitational lenses",4
"Merging and interacting galaxies, Outflows, jets, feedback",7
Inter-Stellar Medium (ISM)/Molecular clouds,3
Giant Molecular Clouds (GMC) properties,6
Asymptotic Giant Branch (AGB) stars,4
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",4
"Outflows, jets and ionized winds",6
"Astrochemistry, Inter-Stellar Medium (ISM)/Molecular clouds",4
"Hypergiants, Evolved stars - Shaping/physical structure",3
"Surveys of galaxies, Giant Molecular Clouds (GMC) properties",6
Solar system - Trans-Neptunian Objects (TNOs),6
"Sub-mm Galaxies (SMG), Gravitational lenses",5
"Sub-mm Galaxies (SMG), Galaxy Clusters",7
"Lyman Alpha Emitters/Blobs (LAE/LAB), Lyman Break Galaxies (LBG)",6
Lyman Break Galaxies (LBG),6
"Starburst galaxies, Sub-mm Galaxies (SMG)",9
Disks around high-mass stars,4
Inter-Stellar Medium (ISM)/Molecular clouds,5
"Disks around low-mass stars, Disks around high-mass stars",9
Active Galactic Nuclei (AGN)/Quasars (QSO),5
Disks around low-mass stars,8
Supernovae (SN) ejecta,4
"Active Galactic Nuclei (AGN)/Quasars (QSO), Merging and interacting galaxies",6
"Starbursts, star formation",7
"Starbursts, star formation, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",6
"Merging and interacting galaxies, Giant Molecular Clouds (GMC) properties",6
Lyman Break Galaxies (LBG),4
"Astrochemistry, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",4
"Lyman Alpha Emitters/Blobs (LAE/LAB), Lyman Break Galaxies (LBG)",7
"Outflows, jets and ionized winds",8
"Supernovae (SN) ejecta, Transients",7
Sub-mm Galaxies (SMG),9
"Outflows, jets, feedback, Early-type galaxies",7
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Inter-Stellar Medium (ISM)/Molecular clouds",7
Gravitational lenses,6
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",3
"Starbursts, star formation, Outflows, jets, feedback",4
"Inter-Stellar Medium (ISM)/Molecular clouds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",8
"Intermediate-mass star formation, Astrochemistry",4
"Sub-mm Galaxies (SMG), Galaxy structure & evolution",8
"Inter-Stellar Medium (ISM)/Molecular clouds, HII regions",5
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",4
HII regions,3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Surveys of galaxies",4
"High-z Active Galactic Nuclei (AGN), Galaxy structure & evolution",9
"Inter-Stellar Medium (ISM)/Molecular clouds, Magellanic Clouds",10
High-mass star formation,8
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",5
Luminous Blue Variables (LBV),7
"Pulsars and neutron stars, Transients",6
Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR),3
"High-z Active Galactic Nuclei (AGN), Galaxy Clusters",6
"Lyman Break Galaxies (LBG), Galaxy structure & evolution",7
"Starbursts, star formation, Galaxy groups and clusters",3
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
"Damped Lyman Alpha (DLA) systems, Gamma Ray Bursts (GRB)",3
"Sub-mm Galaxies (SMG), Galaxy structure & evolution",9
"Debris disks, Solar system - Comets",3
"Merging and interacting galaxies, Early-type galaxies",6
Solar system - Planetary atmospheres,8
Sub-mm Galaxies (SMG),10
Intermediate-mass star formation,8
"Inter-Stellar Medium (ISM)/Molecular clouds, Magellanic Clouds",8
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",9
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",8
"Merging and interacting galaxies, Giant Molecular Clouds (GMC) properties",7
"Galaxy structure & evolution, Galaxy Clusters",6
Brown dwarfs,6
"Exo-planets, Solar system - Comets",4
Solar system - Comets,3
"Post-AGB stars, Evolved stars - Chemistry",7
"Outflows, jets and ionized winds",4
"Starburst galaxies, Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE)",3
Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG),8
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",9
"Outflows, jets, feedback, Early-type galaxies",6
"Starbursts, star formation, Galaxy groups and clusters",6
Giant Molecular Clouds (GMC) properties,8
"Cataclysmic stars, Transients",7
"Disks around low-mass stars, Solar system - Comets",9
Black holes,7
"Starburst galaxies, Gamma Ray Bursts (GRB)",6
"Starburst galaxies, Gamma Ray Bursts (GRB)",4
"Sub-mm Galaxies (SMG), Gamma Ray Bursts (GRB)",7
Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR),6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Surveys of galaxies",5
Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE),4
"Lyman Alpha Emitters/Blobs (LAE/LAB), Galaxy structure & evolution",8
"Disks around low-mass stars, Debris disks",7
"Disks around low-mass stars, Debris disks",6
"Sub-mm Galaxies (SMG), Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
"Gravitational lenses, Galaxy structure & evolution",9
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",8
Evolved stars - Shaping/physical structure,8
"Gravitational lenses, Galaxy Clusters",3
"The Sun, Evolved stars - Shaping/physical structure",6
"Galactic centres/nuclei, Spiral galaxies",6
"Luminous Blue Variables (LBV), Evolved stars: Shaping/physical structure",7
"Post-AGB stars, Disks around high-mass stars",7
"Post-AGB stars, Disks around high-mass stars",9
"Early-type galaxies, Galactic centres/nuclei",3
"Sub-mm Galaxies (SMG), Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE)",6
Astrochemistry,7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",6
Spiral galaxies,3
Starburst galaxies,6
Main sequence stars,6
Main sequence stars,8
Main sequence stars,9
"Low-mass star formation, Astrochemistry",6
Active Galactic Nuclei (AGN)/Quasars (QSO),7
Disks around low-mass stars,9
Disks around low-mass stars,4
"Sub-mm Galaxies (SMG), Gravitational lenses",7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",8
"Starbursts, star formation, Galactic centres/nuclei",3
Active Galactic Nuclei (AGN)/Quasars (QSO),3
Sub-mm Galaxies (SMG),3
"High-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",3
"Evolved stars - Shaping/physical structure, Cataclysmic stars",3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
High-mass star formation,6
"Spiral galaxies, Galaxy chemistry",3
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",6
"Asymptotic Giant Branch (AGB) stars, Post-AGB stars",7
"Post-AGB stars, Evolved stars - Shaping/physical structure",7
Debris disks,6
Black holes,3
"Galactic centres/nuclei, Giant Molecular Clouds (GMC) properties",6
"Surveys of galaxies, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",6
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Astrochemistry",7
"Starbursts, star formation, Spiral galaxies",6
"Starbursts, star formation, Spiral galaxies",3
"Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE), Galaxy Clusters",4
Galaxy Clusters,6
"Debris disks, Disks around high-mass stars",7
"Low-mass star formation, HII regions",3
Exo-planets,6
"Starbursts, star formation, Active Galactic Nuclei (AGN)/Quasars (QSO)",3
"Outflows, jets, feedback",7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",8
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",4
Astrochemistry,3
Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG),3
Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG),7
"Supernovae (SN) ejecta, Pulsars and neutron stars",7
"Spiral galaxies, Giant Molecular Clouds (GMC) properties",7
"High-mass star formation, Intermediate-mass star formation",6
"Outflows, jets and ionized winds, Astrochemistry",7
"Starburst galaxies, Sub-mm Galaxies (SMG)",4
"Low-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",6
"Starbursts, star formation, Giant Molecular Clouds (GMC) properties",3
"Outflows, jets, feedback",4
Giant Molecular Clouds (GMC) properties,7
"Black holes, Transients",6
"Outflows, jets and ionized winds",7
"Outflows, jets and ionized winds, Magellanic Clouds",3
Surveys of galaxies,4
"Astrochemistry, Magellanic Clouds",7
Supernovae (SN) ejecta,3
"Debris disks, Disks around high-mass stars",4
Solar system - Trans-Neptunian Objects (TNOs),7
"Merging and interacting galaxies, Surveys of galaxies",6
"Low-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",7
"Outflows, jets and ionized winds, Inter-Stellar Medium (ISM)/Molecular clouds",6
"Starbursts, star formation",3
"Black holes, Transients",7
"High-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",7
"Starbursts, star formation, Surveys of galaxies",8
Surveys of galaxies,6
"Starburst galaxies, Gravitational lenses",4
"Outflows, jets, feedback",5
"Lyman Break Galaxies (LBG), Damped Lyman Alpha (DLA) systems",4
"Outflows, jets, feedback, Galactic centres/nuclei",6
Merging and interacting galaxies,6
"Supernovae (SN) ejecta, Pulsars and neutron stars",9
Asymptotic Giant Branch (AGB) stars,10
"Lyman Alpha Emitters/Blobs (LAE/LAB), Gravitational lenses",6
"Starbursts, star formation, Outflows, jets, feedback",6
Solar system - Comets,8
"Outflows, jets and ionized winds, Low-mass star formation",9
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galactic centres/nuclei",3
"Lyman Break Galaxies (LBG), Gravitational lenses",4
"Low-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",3
"Lyman Break Galaxies (LBG), Damped Lyman Alpha (DLA) systems",3
"Damped Lyman Alpha (DLA) systems, Galaxy structure & evolution",4
"Active Galactic Nuclei (AGN)/Quasars (QSO), Spiral galaxies",7
Early-type galaxies,3
"Inter-Stellar Medium (ISM)/Molecular clouds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",4
Intermediate-mass star formation,9
"Evolved stars - Shaping/physical structure, Supernovae (SN) ejecta",6
"Disks around high-mass stars, Exo-planets",6
"Galaxy chemistry, Dwarf/metal-poor galaxies",3
"Outflows, jets and ionized winds, High-mass star formation",9
The Sun,7
"Starburst galaxies, Galaxy Clusters",7
"Starbursts, star formation, Dwarf/metal-poor galaxies",3
"Debris disks, Solar system - Comets",7
Gamma Ray Bursts (GRB),5
Inter-Stellar Medium (ISM)/Molecular clouds,9
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Shaping/physical structure",5
Galaxy groups and clusters,4
"Lyman Alpha Emitters/Blobs (LAE/LAB), Damped Lyman Alpha (DLA) systems",6
"Starbursts, star formation, Surveys of galaxies",4
"Debris disks, Disks around high-mass stars",10
"Intermediate-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",7
"Exo-planets, Solar system - Comets",6
"Exo-planets, Solar system - Comets",7
"High-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",8
"Evolved stars - Shaping/physical structure, Evolved stars - Chemistry",7
Pulsars and neutron stars,7
"Outflows, jets and ionized winds, Astrochemistry",4
Solar system - Comets,4
Galaxy structure & evolution,1
"Hypergiants, Evolved stars - Chemistry",6
Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG),10
Gravitational lenses,8
"Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE), Galaxy Clusters",1
"Debris disks, Exoplanets",7
"Post-AGB stars, Outflows, jets and ionized winds",6
"Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG), Outflows, jets and ionized winds",9
"Merging and interacting galaxies, Inter-Stellar Medium (ISM)/Molecular clouds",3
"Astrochemistry, Low-mass star formation",3
"Lyman Break Galaxies (LBG), Galaxy Clusters",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galactic centres/nuclei",10
Solar system - Planetary surfaces,3
"Solar system - Planetary atmospheres, Solar system - Planetary surfaces",7
"The Sun, Transients",3
"The Sun, Transients",6
"Low-mass star formation, Disks around low-mass stars",7
"Galaxy groups and clusters, Outflows, jets, feedback",6
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Low-mass star formation",6
"Outflows, jets, feedback, Galaxy Clusters",7
"Astrochemistry, Low-mass star formation",6
"High-mass star formation, Disks around high-mass stars",6
"Galactic centres/nuclei, Active Galactic Nuclei (AGN)/Quasars (QSO)",3
"Solar system - Planetary surfaces, Solar system - Planetary atmospheres",7
"High-z Active Galactic Nuclei (AGN), Active Galactic Nuclei (AGN)/Quasars (QSO)",6
"Disks around low-mass stars, Outflows, jets and ionized winds",6
"Disks around low-mass stars, Low-mass star formation",9
Solar system - Comets,9
"Solar system - Comets, Astrochemistry",6
"Low-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",7
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",5
"Supernovae (SN) ejecta, Transients",1
"Starbursts, star formation, Merging and interacting galaxies",3
"Outflows, jets and ionized winds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",8
"Outflows, jets and ionized winds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",9
"Lyman Break Galaxies (LBG), Starburst galaxies",6
"Merging and interacting galaxies, Outflows, jets, feedback",3
Damped Lyman Alpha (DLA) systems,4
"Debris disks, Exo-planets",6
Lyman Break Galaxies (LBG),7
Galactic centres/nuclei,3
Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG),6
Disks around high-mass stars,7
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",7
Active Galactic Nuclei (AGN)/Quasars (QSO),9
Lyman Alpha Emitters/Blobs (LAE/LAB),7
"Starbursts, star formation, Active Galactic Nuclei (AGN)/Quasars (QSO)",8
"Spiral galaxies, Giant Molecular Clouds (GMC) properties",3
"Astrochemistry, Inter-Stellar Medium (ISM)/Molecular clouds",7
Solar system - Comets,7
"Solar system - Planetary surfaces, Solar system - Asteroids",6
Solar system - Planetary atmospheres,6
"Outflows, jets, feedback, Galaxy groups and clusters",6
"Solar system - Planetary atmospheres, Solar system - Asteroids",7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galactic centres/nuclei",9
"Lyman Alpha Emitters/Blobs (LAE/LAB), Starburst galaxies",7
"Intermediate-mass star formation, Astrochemistry",9
"Lyman Break Galaxies (LBG), Galaxy Clusters",7
"Starbursts, star formation, Active Galactic Nuclei (AGN)/Quasars (QSO)",9
"Spiral galaxies, Outflows, jets, feedback",3
"Low-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",6
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",4
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",6
"Intermediate-mass star formation, Low-mass star formation",6
Low-mass star formation,3
Lyman Alpha Emitters/Blobs (LAE/LAB),8
Starburst galaxies,8
"Outflows, jets and ionized winds, Low-mass star formation",5
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",7
"Sub-mm Galaxies (SMG), Gravitational lenses",4
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",7
Astrochemistry,4
Debris disks,5
"Supernovae (SN) ejecta, Transients",6
"Sub-mm Galaxies (SMG), Galaxy Clusters",3
"Galaxy chemistry, Giant Molecular Clouds (GMC) properties",3
"Sub-mm Galaxies (SMG), Galaxy structure & evolution",3
Spiral galaxies,7
Spiral galaxies,6
"Starburst galaxies, Sub-mm Galaxies (SMG)",7
Galaxy chemistry,3
Galaxy groups and clusters,6
"Black holes, Transients",3
"Disks around low-mass stars, Exo-planets",9
