science_keyword,band_list
"Lyman Alpha Emitters/Blobs (LAE/LAB), Lyman Break Galaxies (LBG)",8
"High-mass star formation, Low-mass star formation",6
"Surveys of galaxies, Dwarf/metal-poor galaxies",6
"Galaxy chemistry, Dwarf/metal-poor galaxies",6
Solar system - Planetary surfaces,6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galaxy groups and clusters",6
"Starburst galaxies, Sub-mm Galaxies (SMG)",5
"Evolved stars - Chemistry, Transients",3
"Astrochemistry, Magellanic Clouds",6
"Merging and interacting galaxies, Galaxy chemistry",4
"Spiral galaxies, Giant Molecular Clouds (GMC) properties",4
Dwarf/metal-poor galaxies,7
"Astrochemistry, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Merging and interacting galaxies",3
Solar system - Planetary atmospheres,5
"Astrochemistry, Inter-Stellar Medium (ISM)/Molecular clouds",6
"Merging and interacting galaxies, Galaxy groups and clusters",3
Lyman Break Galaxies (LBG),3
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Shaping/physical structure",8
"Starbursts, star formation, Dwarf/metal-poor galaxies",6
"Starburst galaxies, Gravitational lenses",3
Sub-mm Galaxies (SMG),5
Merging and interacting galaxies,9
"Debris disks, Disks around low-mass stars",3
"Dwarf/metal-poor galaxies, Giant Molecular Clouds (GMC) properties",6
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Astrochemistry",5
"Intermediate-mass star formation, Low-mass star formation",7
Spiral galaxies,8
"High-z Active Galactic Nuclei (AGN), Galaxy structure & evolution",4
"Starbursts, star formation",9
"Astrochemistry, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",6
"Lyman Break Galaxies (LBG), Starburst galaxies",3
"Asymptotic Giant Branch (AGB) stars, Post-AGB stars",3
"Merging and interacting galaxies, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",6
"Astrochemistry, Inter-Stellar Medium (ISM)/Molecular clouds",9
Intermediate-mass star formation,7
"Merging and interacting galaxies, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",9
"Lyman Break Galaxies (LBG), Starburst galaxies",7
"Spiral galaxies, Galactic centres/nuclei",3
"Gravitational lenses, Galaxy structure & evolution",4
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
"Lyman Alpha Emitters/Blobs (LAE/LAB), High-z Active Galactic Nuclei (AGN)",3
"Starburst galaxies, Gravitational lenses",7
"Galaxy chemistry, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",4
"Galaxy groups and clusters, Giant Molecular Clouds (GMC) properties",7
"Outflows, jets, feedback, Giant Molecular Clouds (GMC) properties",6
Gamma Ray Bursts (GRB),4
Hypergiants,6
Hypergiants,3
"White dwarfs, Transients",7
"White dwarfs, Transients",3
Starburst galaxies,5
High-mass star formation,9
"Astrochemistry, Inter-Stellar Medium (ISM)/Molecular clouds",10
"Disks around low-mass stars, Exo-planets",4
"Starburst galaxies, Sub-mm Galaxies (SMG)",10
"Starbursts, star formation, Merging and interacting galaxies",4
"Starbursts, star formation, Outflows, jets, feedback",3
"Sub-mm Galaxies (SMG), Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE)",3
"Disks around low-mass stars, Disks around high-mass stars",3
Lyman Alpha Emitters/Blobs (LAE/LAB),10
Lyman Alpha Emitters/Blobs (LAE/LAB),9
Surveys of galaxies,5
Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE),6
"Black holes, Active Galactic Nuclei (AGN)/Quasars (QSO)",3
,6
"Starbursts, star formation, Giant Molecular Clouds (GMC) properties",8
"Inter-Stellar Medium (ISM)/Molecular clouds, Astrochemistry",6
"High-z Active Galactic Nuclei (AGN), Galaxy Clusters",7
"High-z Active Galactic Nuclei (AGN), Sub-mm Galaxies (SMG)",7
"High-mass star formation, Astrochemistry",9
"Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG), Galaxy chemistry",7
"Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG), Galaxy chemistry",3
"Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR), Inter-Stellar Medium (ISM)/Molecular clouds",6
"Disks around low-mass stars, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",7
"Disks around low-mass stars, Astrochemistry",7
"Galaxy structure & evolution, Galaxy chemistry",7
"Galactic centres/nuclei, Outflows, jets, feedback",7
"Disks around low-mass stars, Astrochemistry",6 7
Galaxy structure & evolution,9
"Merging and interacting galaxies, Early-type galaxies",7
"Disks around low-mass stars, Astrochemistry",3
Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR),1
"Inter-Stellar Medium (ISM)/Molecular clouds, HII regions",1
"Merging and interacting galaxies, Galactic centres/nuclei",3
"Outflows, jets, feedback",6
Exo-planets,7
"Outflows, jets, feedback, Galactic centres/nuclei",3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galactic centres/nuclei",6
Exo-planets,3
Disks around low-mass stars,7
"Starburst galaxies, Galaxy structure & evolution",6
Inter-Stellar Medium (ISM)/Molecular clouds,6
Brown dwarfs,3
Solar system - Planetary atmospheres,7
Low-mass star formation,7
"Early-type galaxies, Galactic centres/nuclei",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
Debris disks,7
Supernovae (SN) ejecta,7
"Disks around low-mass stars, Exo-planets",7
High-mass star formation,7
"Starbursts, star formation, Active Galactic Nuclei (AGN)/Quasars (QSO)",7
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Shaping/physical structure",7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galactic centres/nuclei",5
Disks around high-mass stars,6
Galaxy Clusters,4
Starburst galaxies,9
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",3
"Merging and interacting galaxies, Outflows, jets, feedback",5
Galaxy structure & evolution,4
Solar system - Planetary atmospheres,4
Galactic centres/nuclei,5
Low-mass star formation,5
Low-mass star formation,9
Surveys of galaxies,7
"Intermediate-mass star formation, Astrochemistry",3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",6
"Low-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",3
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",3
"Starbursts, star formation, Outflows, jets, feedback",8
Early-type galaxies,6
"Galaxy chemistry, Giant Molecular Clouds (GMC) properties",7
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Chemistry",4
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",6
"Solar system - Planetary atmospheres, Solar system - Planetary surfaces",6
High-z Active Galactic Nuclei (AGN),8
"Active Galactic Nuclei (AGN)/Quasars (QSO), Early-type galaxies",3
"Galaxy structure & evolution, Galaxy Clusters",7
"Surveys of galaxies, Dwarf/metal-poor galaxies",3
"Disks around low-mass stars, Disks around high-mass stars",7
"Evolved stars - Chemistry, Transients",4
The Sun,6
Starburst galaxies,4
"Main sequence stars, Evolved stars - Shaping/physical structure",3
"Outflows, jets and ionized winds, Low-mass star formation",3
Gravitational lenses,7
"Solar system - Planetary atmospheres, Solar system - Planetary surfaces",5
"Supernovae (SN) ejecta, Transients",8
"Supernovae (SN) ejecta, Transients",9
"Supernovae (SN) ejecta, Transients",3
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",5
"Inter-Stellar Medium (ISM)/Molecular clouds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",6
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",7
"Starburst galaxies, Galaxy structure & evolution",3
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Astrochemistry",6
"Sub-mm Galaxies (SMG), Galaxy structure & evolution",4
"Starbursts, star formation, Galaxy chemistry",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galaxy groups and clusters",5
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Astrochemistry",3
Galaxy groups and clusters,7
"Post-AGB stars, Evolved stars - Chemistry",3
"Outflows, jets, feedback",8
Disks around low-mass stars,5
Lyman Break Galaxies (LBG),8
"Galaxy chemistry, Giant Molecular Clouds (GMC) properties",5
Lyman Alpha Emitters/Blobs (LAE/LAB),4
"Dwarf/metal-poor galaxies, Giant Molecular Clouds (GMC) properties",3
"Spiral galaxies, Merging and interacting galaxies",3
Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR),7
"Starbursts, star formation, Galaxy chemistry",7
"Lyman Break Galaxies (LBG), Starburst galaxies",8
"Starbursts, star formation, Surveys of galaxies",7
"Evolved stars - Shaping/physical structure, Luminous Blue Variables (LBV)",7
Intermediate-mass star formation,6
"Galaxy chemistry, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",6
"Galaxy structure & evolution, Galaxy Clusters",5
"Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG), Giant Molecular Clouds (GMC) properties",8
"Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG), Giant Molecular Clouds (GMC) properties",6
"High-mass star formation, Astrochemistry",3
,9
"White dwarfs, Transients",5
"Starbursts, star formation, Outflows, jets, feedback",9
Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG),5
Galaxy groups and clusters,5
"Lyman Break Galaxies (LBG), Gravitational lenses",5
Galaxy structure & evolution,8
"Starbursts, star formation",5
"Exo-planets, Solar system - Comets",3
Galaxy Clusters,7
"Post-AGB stars, Evolved stars - Chemistry",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Surveys of galaxies",7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Dwarf/metal-poor galaxies",6
"High-mass star formation, Astrochemistry",8
"Early-type galaxies, Galaxy chemistry",6
"Post-AGB stars, Evolved stars - Chemistry",5
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",10
"Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR), HII regions",8
"Lyman Break Galaxies (LBG), Sub-mm Galaxies (SMG)",5
"Gravitational lenses, Damped Lyman Alpha (DLA) systems",4
"High-z Active Galactic Nuclei (AGN), Galaxy structure & evolution",8
"Evolved stars - Shaping/physical structure, Evolved stars - Chemistry",3
"Outflows, jets and ionized winds, Astrochemistry",3
Transients,8
"Hypergiants, Evolved stars - Shaping/physical structure",4
"Debris disks, Disks around low-mass stars",9
"Post-AGB stars, Outflows, jets and ionized winds",3
"Astrochemistry, Low-mass star formation",7
"Black holes, Active Galactic Nuclei (AGN)/Quasars (QSO)",6
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",9
"Pulsars and neutron stars, Black holes",3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",9
"Debris disks, Exo-planets",4
"The Sun, Main sequence stars",4
"Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE), Galaxy structure & evolution",4
"Sub-mm Galaxies (SMG), Gravitational lenses",9
Solar system - Planetary surfaces,7
"The Sun, Evolved stars - Shaping/physical structure",3
"Disks around low-mass stars, Low-mass star formation",7
"Luminous Blue Variables (LBV), Evolved stars: Shaping/physical structure",6
"High-z Active Galactic Nuclei (AGN), Active Galactic Nuclei (AGN)/Quasars (QSO)",7
"Evolved stars - Chemistry, Asymptotic Giant Branch (AGB) stars",6
"Low-mass star formation, Astrochemistry",9
Active Galactic Nuclei (AGN)/Quasars (QSO),6 7
"High-mass star formation, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",7
Starburst galaxies,7
Main sequence stars,4
"Low-mass star formation, Astrochemistry",7
"Low-mass star formation, Astrochemistry",8
"High-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",6
"Starbursts, star formation, Galactic centres/nuclei",6
Sub-mm Galaxies (SMG),6
"Starburst galaxies, Galaxy structure & evolution",7
"Outflows, jets, feedback",3
Supernovae (SN) ejecta,6
High-mass star formation,3
"Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE), Galaxy Clusters",3
"Inter-Stellar Medium (ISM)/Molecular clouds, Magellanic Clouds",7
"Disks around low-mass stars, Disks around high-mass stars",6
Astrochemistry,6
Galactic centres/nuclei,9
"Starbursts, star formation, Merging and interacting galaxies",7
Post-AGB stars,7
High-z Active Galactic Nuclei (AGN),3
"Spiral galaxies, Galaxy chemistry",8
"Solar system - Planetary atmospheres, Solar system - Planetary surfaces",3
Pulsars and neutron stars,3
Pulsars and neutron stars,6
"Sub-mm Galaxies (SMG), Galaxy structure & evolution",6
Starburst galaxies,3
"Starbursts, star formation, Active Galactic Nuclei (AGN)/Quasars (QSO)",4
Inter-Stellar Medium (ISM)/Molecular clouds,7
Astrochemistry,10
"Galactic centres/nuclei, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",6
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",6
"Lyman Break Galaxies (LBG), Galaxy structure & evolution",4
"Outflows, jets, feedback, Galactic centres/nuclei",4
"Outflows, jets and ionized winds, High-mass star formation",7
"High-z Active Galactic Nuclei (AGN), Galaxy structure & evolution",7
"Starbursts, star formation, Galactic centres/nuclei",9
Gravitational lenses,4
Gravitational lenses,5
Galaxy chemistry,6
"Starbursts, star formation, Galaxy chemistry",5
"Black holes, Transients",4
"Solar system - Planetary atmospheres, Solar system - Planetary surfaces",4
Damped Lyman Alpha (DLA) systems,5
Transients,6
"Gravitational lenses, Galaxy structure & evolution",3
Supernovae (SN) ejecta,9
"Active Galactic Nuclei (AGN)/Quasars (QSO), Merging and interacting galaxies",7
"Astrochemistry, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",8
"Merging and interacting galaxies, Giant Molecular Clouds (GMC) properties",3
Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE),3
Astrochemistry,8
"Merging and interacting galaxies, Galaxy groups and clusters",6
"Supernovae (SN) ejecta, Transients",4
Magellanic Clouds,6
Solar system - Comets,6
"Outflows, jets, feedback, Early-type galaxies",4
"Active Galactic Nuclei (AGN)/Quasars (QSO), Surveys of galaxies",6
"Lyman Break Galaxies (LBG), Galaxy structure & evolution",8
Pulsars and neutron stars,4
"Inter-Stellar Medium (ISM)/Molecular clouds, HII regions",6
"Lyman Break Galaxies (LBG), Sub-mm Galaxies (SMG)",3
"Sub-mm Galaxies (SMG), Galaxy structure & evolution",5
"High-z Active Galactic Nuclei (AGN), Galaxy Clusters",3
"Outflows, jets, feedback",9
"Intermediate-mass star formation, Astrochemistry",6
"Inter-Stellar Medium (ISM)/Molecular clouds, HII regions",3
"Inter-Stellar Medium (ISM)/Molecular clouds, HII regions",4
"Sub-mm Galaxies (SMG), Galaxy structure & evolution",7
"Debris disks, Solar system - Comets",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Surveys of galaxies",3
"Starburst galaxies, Gravitational lenses",5
"Starbursts, star formation, Galactic centres/nuclei",7
"Starbursts, star formation, Early-type galaxies",3
"Starburst galaxies, Gravitational lenses",8
"High-z Active Galactic Nuclei (AGN), Damped Lyman Alpha (DLA) systems",3
Asymptotic Giant Branch (AGB) stars,3
"HII regions, Magellanic Clouds",3
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",4
"Disks around low-mass stars, Solar system - Comets",7
"Solar system - Planetary atmospheres, Solar system - Trans-Neptunian Objects (TNOs)",7
"Evolved stars - Shaping/physical structure, Evolved stars - Chemistry",6
"Outflows, jets and ionized winds, Intermediate-mass star formation",7
"Galaxy structure & evolution, Galaxy Clusters",4
"Starbursts, star formation, Galaxy chemistry",3
"Dwarf/metal-poor galaxies, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
"Lyman Break Galaxies (LBG), Galaxy structure & evolution",5
"Disks around low-mass stars, Solar system - Comets",8
"Surveys of galaxies, Galaxy groups and clusters",6
"Cataclysmic stars, Supernovae (SN) ejecta",4
"Damped Lyman Alpha (DLA) systems, Galaxy structure & evolution",7
"Damped Lyman Alpha (DLA) systems, Galaxy structure & evolution",6
Black holes,4
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",10
"Starburst galaxies, Galaxy structure & evolution",8
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",8
"Lyman Break Galaxies (LBG), Sub-mm Galaxies (SMG)",4
High-z Active Galactic Nuclei (AGN),9
"Lyman Alpha Emitters/Blobs (LAE/LAB), Galaxy Clusters",4
"Inter-Stellar Medium (ISM)/Molecular clouds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",9
Lyman Break Galaxies (LBG),9
"Lyman Break Galaxies (LBG), Starburst galaxies",5
Galaxy groups and clusters,3
"Surveys of galaxies, Galaxy groups and clusters",7
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",9
"Galactic centres/nuclei, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",5
"High-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",4
"Outflows, jets and ionized winds, Low-mass star formation",8
Early-type galaxies,7
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",10
"Outflows, jets and ionized winds, High-mass star formation",8
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",9
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Shaping/physical structure",9
Low-mass star formation,1
"Disks around low-mass stars, Brown dwarfs",3
"Galaxy structure & evolution, Surveys of galaxies",7
"Merging and interacting galaxies, Inter-Stellar Medium (ISM)/Molecular clouds",7
"Cataclysmic stars, Transients",6
Gravitational lenses,3
"The Sun, Main sequence stars",9
"Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE), Galaxy structure & evolution",3
"Outflows, jets and ionized winds, Intermediate-mass star formation",6
"Inter-Stellar Medium (ISM)/Molecular clouds, Astrochemistry",3
"Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG), Galaxy chemistry",6
"Galaxy structure & evolution, Galaxy chemistry",3
"Black holes, Active Galactic Nuclei (AGN)/Quasars (QSO)",7
"Black holes, Active Galactic Nuclei (AGN)/Quasars (QSO)",9
Disks around high-mass stars,9
Black holes,3 6 7
"Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG), Starbursts, star formation",7
"Evolved stars - Chemistry, Asymptotic Giant Branch (AGB) stars",9
"Lyman Alpha Emitters/Blobs (LAE/LAB), Galaxy structure & evolution",6
"Outflows, jets, feedback, Galactic centres/nuclei",9
"Early-type galaxies, Galactic centres/nuclei",7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Early-type galaxies",6
,3
"Intermediate-mass star formation, Astrochemistry",5
