ALMA_source_name,PWV,SB_name,Vel.res,Ang.res,RA,Dec,FOV,Int.Time,Total.Time,Cont_sens_mJybeam,Line_sens_10kms_mJybeam,Obs.date
J0842+1218,2.146373,J0842+12_a_06_TE,2162.3907407039,1.0125727183224749,130.62179166666667,12.31338888888889,0.0062010332459044686,453.6,57418.229102,0.04543139969733463,1.2981664742347314,2017-03-14
J0842+1218,1.6353524,J0842+12_a_06_TM1,4342.199899271944,0.24888626180687246,130.62166666663833,12.314583333335346,0.006167272289867974,3265.92,57697.431011,0.024950897668527712,0.7124229909470775,2018-01-27
J0842+1218C1,0.4194409,J0842+12_a_08_TM1,687.5415766329858,0.21832750593310313,130.6207083333618,12.313888888892507,0.0033263761923036455,8074.08,59739.868628,0.1250930902615996,2.8323182323577956,2023-06-21
SDSS_J092303.53+024739.5,0.7381791,SDSS_J09_a_07_TE,26723.39388184494,0.3144298523694684,140.7647371,2.7943042,0.004719179541731066,2842.56,57186.998625,0.028028105549469145,0.7451274914123269,2016-08-21
J1319+0950,1.5253011,J1319+0950,35026.58610469392,0.5344188152547371,199.79704166666667,9.847611111111112,0.0062701345957950575,3447.36,56037.300487,0.07355246270448622,2.216008093728979,2013-05-16
J1319+0950,1.1836025,J1319+0950_266GHz_12m_C32-6,34689.26299261373,0.22569541339793836,199.79704166666667,9.84761111111111,0.006214329625965151,2903.04,56886.889936,0.017779861120162173,0.5280170331115434,2015-12-17
J1319+0950,4.095586,J1319+09_a_03_TM1,5172.809543631999,1.4730975494542577,199.7970916666911,9.847636111113585,0.015203320165125003,3628.8,58789.648419,0.015706721930229244,0.7991019863672097,2021-03-02
J1319+0950C1,0.47252244,J1319+09_a_08_TM1,703.4782361551493,0.2350193862688271,199.79854166668332,9.843944444447306,0.003404269035675116,4536.0,59725.077576,0.11117893261233192,2.5303375987180647,2023-06-20
J1319+0950,0.77670825,J1319+09_a_06_TM1,1265.2524301529136,0.09717566986096919,199.7970416667093,9.847611111114135,0.006210607019346381,2467.584,60103.152108,0.016451631823185833,0.5048458707889351,2024-11-14
ULASJ1319+0950,1.8,131204.7_a_06_7M,40841.37813729204,4.489892538606742,199.7970833333195,9.847500000000283,0.012526697129725652,116.928,60300.492785,0.6832262402049543,24.112583503739998,2025-01-06
SDSS_J132853.66-022441.6,0.61474305,SDSS_J13_b_07_TE,26716.90428229674,0.32163064265755614,202.2235875,-2.4115825,0.004718634391388178,2721.6,57178.187163,0.027251191733998238,0.7244401571378732,2016-08-18
PJ065-26,2.514112,PJ065-26_a_06_TE,2190.393579908461,0.6751837832791048,65.40854166669054,-26.954333333338276,0.006283345372035254,967.68,57478.926001,0.04716212694672019,1.3744178789176322,2017-05-23
PJ065-26,0.9358104,PJ065-26_a_06_TM1,2192.565020786053,0.24327307657345015,65.40854166671413,-26.954333333343012,0.00628693269939086,1512.0,58389.447896,0.018945898830253577,0.5517853252637865,2019-10-26
PJ065-26,4.60218,PJ065-26_a_03_TM1,5213.164134001056,0.983933356892215,65.40854999999327,-26.954333333333516,0.015320220470960516,2691.36,58775.32124,0.009229911785070476,0.3851443529780402,2021-03-02
PSO_J167.6415-13.4960,1.0033547,PSO_J167_a_06_TE,37156.152088162315,0.624284241485979,167.64158333330505,-13.496000000001679,0.006608076427489538,2570.4,57469.150062,0.015007703953653157,0.4860662669217596,2017-05-12
PJ231-20,1.9394217,PJ231-20_a_06_TE,2324.403577018447,0.8960373617273917,231.65766666666667,-20.83352777777778,0.006682241047718372,453.6,57414.450264,0.03961615639547672,1.222073362627657,2017-03-14
PJ231-20,0.48591164,PJ231-20_a_03_TM1,5505.01364005559,0.7677082996092641,231.65767083335922,-20.83351666666872,0.016215140195530737,2026.08,58762.853992,0.009882759421640241,0.4566360824772717,2021-01-17
PJ231-20,0.91,PJ231-20_a_08_7M,2836.220813603751,3.214875176427015,231.65767083339128,-20.833516666683572,0.006815405953811146,1814.4,59785.135916,0.8118451223800711,17.982473962141512,2023-07-29
PJ231-20,0.60588026,PJ231-20_a_08_TM1,2895.103281377592,0.09378300860013779,231.65768333327924,-20.833577777789674,0.004061713349019649,1149.12,60061.167201,0.10362989246741112,2.1398754213469418,2024-05-05
PJ231-20,2.9484563,PJ231-20_a_04_TM1,3814.0827131286205,0.20792447790973784,231.6576833333035,-20.833577777782274,0.011055649997157047,4656.96,60068.176213,0.012164142875879805,0.49936601043833073,2024-05-19
PJ308-21,1.112529,PJ308-21_a_06_TE,2211.1001060152234,0.6453813442695012,308.0416666666126,-21.2339722222343,0.0063463334463442775,756.0,57474.446177,0.029153457699159835,0.8310519415744089,2017-05-16
PJ308-21,0.45046493,PJ308-21_a_06_TM1,1290.4057954860775,0.24588634605234716,308.0416666666215,-21.233888888896058,0.006360454094832324,3386.88,57878.372278,0.015988829315308508,0.4866288891027774,2017-11-16
PJ308-21,3.2028577,PJ308-21_a_03_TM1,5247.656698941675,0.9751060788536547,308.04165000002575,-21.233975000002044,0.015419664424090006,2509.92,58770.05305,0.009054838940477544,0.3809687790606896,2021-01-29
PJ308-21,0.37963688,PJ308-21_a_08_TM1,2496.712520966115,0.33665660591077673,308.0416745833677,-21.234011944448255,0.003493782983575614,1118.88,59864.054708,0.13988550048863335,2.6313540445555486,2024-09-15
PJ308-21,0.9519538,PJ308-21_a_05_TM1,5769.615297681299,0.38130865564154004,308.0416745833911,-21.234011944467362,0.008215428824281173,2933.28,60050.654021,0.017332664919449445,0.6738365960122059,2024-09-19
WMH5,0.3267941,WMH5_a_06_TE,34455.12541756568,0.38304173963825544,36.612625,-4.877305555555555,0.0061641990357182335,5443.2,56836.638623,0.014986152008391155,0.433573450409979,2015-08-28
WMH13,1.8575435,WMH13_a_06_TE,34300.569973758415,0.8790040471131191,149.98558333333332,2.207527777777778,0.0061365509846614515,4777.92,57134.022833,0.02310194628703261,0.6911275687134973,2016-05-25
WMH_5,1.4828719,WMH_5_a_06_TE,34715.48953943947,0.21375318047598668,36.61253333330385,-4.87732277777896,0.006165507463950536,13970.88,57607.416818,0.01737837548076842,0.5491665340806829,2017-11-15
J1509-1749,1.6080664,J1509-17_a_06_TE,2177.8517791346385,0.9155109878636194,227.42408333333333,-17.82411111111111,0.006248052355592283,483.84,57418.383732,0.03915308633475795,1.1403703937914353,2017-03-14
J1509-1749,2.6083107,J1509-17_a_03_TM1,5165.03773231617,1.4998966792271087,227.42407500000581,-17.82411111111847,0.015181006024660961,3144.96,58797.642095,0.01539455453064028,0.7050872724569124,2021-03-05
J1509-1749,1.1553289,J1509-17_c_06_TM1,4316.8881440999085,0.21243589863138954,27.1568333333202,6.005555555555706,0.006135609668325932,3749.76,59791.419669,0.01997900124806698,0.6092002914050076,2023-08-02
J1509-1749,0.80998653,J1509-17_a_06_TM1,4394.580543977462,0.22799425183610317,227.42408333331412,-17.824111111112032,0.006244693576275258,2782.08,59795.971092,0.013988471268735767,0.409095165109337,2023-08-11
J1509-1749,0.203466,J1509-17_b_06_TM1,4316.577444448127,0.2775495883208849,124.61416666663186,17.381055555558756,0.006134733094204272,2086.56,59809.612815,0.016541583114823448,0.43769427973262315,2023-08-25
J1306+0356,2.13204,J1306+03_a_06_TE,2145.7666834330876,0.878761425108659,196.5344166666667,3.940638888888889,0.006153100041142337,514.08,57414.393827,0.0453511377947487,1.3156285822105442,2017-04-14
J1306+0356,1.4983759,J1306+03_a_06_TM1,2145.994500859497,0.2357230047258954,196.5344166666432,3.940638888889221,0.006153110996161175,1693.44,58388.708622,0.02352543559323837,0.6912142170955238,2019-10-09
J1306+0356C1,0.609201,J1306+03_a_08_TM1,701.6939006496773,0.26795776417520484,196.53470833338366,3.9406111111129785,0.003395521723810903,514.08,59717.171072,0.2593727139100929,7.20608747377273,2023-06-07
