target_name,member_uos_id
J0842+1218,uid://A001/X2fb/X3ec
J0842+1218,uid://A001/X885/X36b
J0842+1218C1,uid://A001/X1590/X1ef6
J1306+0356,uid://A001/X2fb/X40c
J1306+0356,uid://A001/X1273/X374
J1306+0356C1,uid://A001/X1590/X1f02
J1319+0950,uid://A002/X391d0b/X1e
J1319+0950,uid://A002/X7fb989/X18
J1319+0950,uid://A001/X1465/X380c
J1319+0950C1,uid://A001/X1590/X1f06
J1509-1749,uid://A001/X2fb/X414
J1509-1749,uid://A001/X1465/X3824
J1509-1749,uid://A001/X1590/X11e2
J1509-1749,uid://A001/X1590/X11c6
J1509-1749,uid://A001/X1590/X11de
PJ065-26,uid://A001/X2fb/X3e4
PJ065-26,uid://A001/X1273/X36c
PJ065-26,uid://A001/X1465/X3830
PJ231-20,uid://A001/X2fb/X440
PJ231-20,uid://A001/X1465/X3810
PJ231-20,uid://A001/X15aa/X1f7
PJ231-20,uid://A001/X2d1f/X829
PJ231-20,uid://A001/X2d1f/X82d
PJ308-21,uid://A001/X2fb/X418
PJ308-21,uid://A001/X11a4/Xf
PJ308-21,uid://A001/X1465/X382c
PSO_J167.6415-13.4960,uid://A001/X2d6/X7d
SDSS_J092303.53+024739.5,uid://A001/X12e/X2e6
SDSS_J132853.66-022441.6,uid://A001/X12e/X2ea
WMH_5,uid://A001/X2d6/X5a
WMH13,uid://A001/X121/X24f
WMH5,uid://A001/X121/X24b